"y_total_m_ha";"hoursWorkUsual";"age";"sex";"oficio";"relab";"college";"ocu";"clase";"cotPension";"cuentaPropia";"depto";"directorio";"dominio";"dsi";"estrato1";"formal";"fweight";"inac";"informal";"maxEducLevel";"mes";"pea";"pet";"sizeFirm";"wap";"regSalud";"age2";"ln_wage"
"43";3393.939453125;55;30;0;76;4;1;1;1;2;1;11;4772522;"BOGOTA";0;1;0;307;0;1;6;11;1;1;4;1;3;900;8.12974660624937
"44";4542.98291015625;48;22;1;59;1;1;1;1;1;0;11;4772523;"BOGOTA";0;2;1;286;0;0;6;11;1;1;5;1;1;484;8.42133910395533
"45";4542.98291015625;48;23;0;77;1;1;1;1;1;0;11;4772523;"BOGOTA";0;2;1;286;0;0;6;11;1;1;5;1;1;529;8.42133910395533
"46";2412.74829101562;82;55;1;98;1;1;1;1;1;0;11;4772524;"BOGOTA";0;1;1;303;0;0;6;11;1;1;5;1;1;3025;7.78852174647309
"47";1555.55554199219;15;19;0;41;4;0;1;1;2;1;11;4772524;"BOGOTA";0;1;0;303;0;1;7;11;1;1;1;1;1;361;7.34958802254187
"48";4375;48;39;1;41;4;0;1;1;2;1;11;4772525;"BOGOTA";0;2;0;289;0;1;5;11;1;1;1;1;3;1521;8.38366179879172
"49";2916.66674804688;48;38;0;79;1;1;1;1;2;0;11;4772525;"BOGOTA";0;2;0;289;0;1;6;11;1;1;2;1;3;1444;7.97819671858534
"50";14933.3330078125;25;43;0;45;1;0;1;1;1;0;11;4772526;"BOGOTA";0;3;1;268;0;0;7;11;1;1;3;1;1;1849;9.6113511079367
"51";2916.66674804688;64;20;0;38;1;0;1;1;2;0;11;4772526;"BOGOTA";0;3;0;268;0;1;7;11;1;1;2;1;1;400;7.97819671858534
"52";7274.86865234375;48;57;1;80;1;1;1;1;1;0;11;4772527;"BOGOTA";0;3;1;244;0;0;6;11;1;1;4;1;1;3249;8.89218103721605
"53";3111.11108398438;15;56;0;45;4;0;1;1;2;1;11;4772527;"BOGOTA";0;3;0;244;0;1;4;11;1;1;1;1;1;3136;8.04273520310181
"54";11450.8330078125;40;32;1;33;1;0;1;1;1;0;11;4772527;"BOGOTA";0;3;1;244;0;0;7;11;1;1;5;1;1;1024;9.34581775811012
